ID,Fecha,Tipo,Cantidad,Concepto,Categoria,Cuenta
1,2025-09-03T11:06:01.000,TipoTransaccion.ingreso,244.57,null,1,1
2,2025-09-03T11:06:21.000,TipoTransaccion.ingreso,12.86,null,2,5
3,2025-09-03T11:07:28.000,TipoTransaccion.ingreso,55.43,null,3,1
4,2025-09-03T11:07:28.000,TipoTransaccion.ingreso,532.79,null,4,2
5,2025-09-03T11:13:13.000,TipoTransaccion.ingreso,267.21,null,5,2
6,2025-09-03T11:13:13.000,TipoTransaccion.ingreso,203.84,null,6,3
7,2025-09-03T11:13:28.000,TipoTransaccion.gasto,-471.06,1,null,2
8,2025-09-03T11:16:47.000,TipoTransaccion.ingreso,3396.15,null,7,3
9,2025-09-03T11:16:47.000,TipoTransaccion.ingreso,3132.78,null,8,4
10,2025-09-03T16:47:27.000,TipoTransaccion.gasto,-20.98,2,null,6
11,2025-09-03T18:08:21.000,TipoTransaccion.gasto,-24.19,3,null,1
12,2025-09-05T09:43:44.000,TipoTransaccion.ingreso,489.07,null,9,4
13,2025-09-06T14:55:54.000,TipoTransaccion.gasto,-10.22,4,null,6
14,2025-09-06T15:00:21.000,TipoTransaccion.gasto,-0.5,5,null,1
15,2025-09-06T17:56:11.000,TipoTransaccion.gasto,-17.99,6,null,1
16,2025-09-06T18:50:26.000,TipoTransaccion.gasto,-3.25,7,null,1
17,2025-09-07T17:32:36.000,TipoTransaccion.gasto,-67.01,8,null,1
18,2025-09-09T18:12:37.000,TipoTransaccion.gasto,-11.46,9,null,6
19,2025-09-05T00:00:00.000,TipoTransaccion.gasto,-43.31,10,null,6
20,2025-09-11T13:27:30.000,TipoTransaccion.gasto,-2.1,11,null,1
21,2025-09-12T16:27:27.000,TipoTransaccion.gasto,-24.6,12,null,6
22,2025-09-13T14:08:10.000,TipoTransaccion.gasto,-1.0,13,null,1
23,2025-09-13T14:51:06.000,TipoTransaccion.gasto,-15.0,14,null,1
24,2025-09-13T14:51:26.000,TipoTransaccion.gasto,-1.0,15,null,1
25,2025-09-13T17:09:06.000,TipoTransaccion.gasto,-5.99,16,null,1
26,2025-09-13T17:47:20.000,TipoTransaccion.gasto,-3.8,17,null,1
27,2025-09-13T18:12:37.000,TipoTransaccion.gasto,-16.71,18,null,6
28,2025-09-15T15:06:01.000,TipoTransaccion.gasto,-20.74,19,null,6
29,2025-09-15T15:06:46.000,TipoTransaccion.ingreso,1.0,null,10,4
30,2025-09-15T23:26:08.000,TipoTransaccion.gasto,-7.0,20,null,1
31,2025-09-16T10:22:52.000,TipoTransaccion.gasto,-21.99,21,null,2
32,2025-09-18T11:53:07.000,TipoTransaccion.ingreso,2.0,null,11,4
33,2025-09-18T15:59:32.000,TipoTransaccion.gasto,-0.3,22,null,1
34,2025-09-19T17:18:38.000,TipoTransaccion.gasto,-18.58,23,null,6
35,2025-09-19T23:47:33.000,TipoTransaccion.gasto,-3.39,24,null,6
36,2025-09-19T23:49:44.000,TipoTransaccion.ingreso,18.42,null,12,6
37,2025-09-20T12:40:22.000,TipoTransaccion.gasto,-29.99,25,null,1
38,2025-09-20T13:23:21.000,TipoTransaccion.gasto,-7.2,26,null,6
39,2025-09-20T20:02:09.000,TipoTransaccion.gasto,-7.81,27,null,6
40,2025-09-21T09:49:05.000,TipoTransaccion.gasto,-132.06,28,null,2
41,2025-09-24T15:58:47.000,TipoTransaccion.gasto,-22.2,29,null,1
42,2025-09-24T16:20:27.000,TipoTransaccion.ingreso,5.01,null,13,4
43,2025-09-25T17:56:37.000,TipoTransaccion.gasto,-17.33,30,null,6
44,2025-09-26T17:19:23.000,TipoTransaccion.gasto,-240.0,31,null,3
46,2025-09-28T19:00:52.000,TipoTransaccion.gasto,-2.4,33,null,1
